customer_unique_id,order_id,review_score,review_comment_message
70f81beee33fd4ac0ebf59d61dee4b1e,0dacf04c5ad59fd5a0cc1faa07c34e39,2,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU"
39979cc184bf93727d4bdfb4714acd40,bbd1b9ebbc5a09d51caaa2d10e0f93b5,2,Demorou de mais pra entrega 
4551b276e3b62171ef70ce8654419d31,33fb6b947580ee29bd0c6babed6049c1,2,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.
ca681af5ab07e1b26a4a7322d06b0948,468c2f34312a6d270a20c7aef082041c,2,"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA"
3353f412e65c52d3b1b5a91f4a5df5bd,a848ecb46fe108b35dd5bd7bf4fdddca,2,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.
3a359d463b5a79614f9206ec5e38b434,68993f27a34bd02e3b2c2ebb5c41b9ec,2,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei."
26665ee2e504396135d197b3e4721beb,7977e307a9ea263c2cef8cdc9ccbbe26,2,comprei o produto na cor preta e chegou na cor vermelha.
f8b34f85667240ee963019be835a54c3,993f3fc78c8cdf418bd5b0f7cfffcaa9,2,Pensei que a mochila fosse um material mais resistente.
2d62e67e4f6fb00ceb8114c26bf1dc5f,43150008aa4569cfef4be756bd7dbdd3,2,"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
"
b860cf8691d09c106b5c6dae76361e96,1905a6fa69b8fe273cc0ec81f8ec31b5,2,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡"
f25dbe47dcd3f1cd4f1bf546e0985e43,028d62c0fdae574114981f4fb33b5538,2,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação
35e84c42f5f83f3fe67cd48d18c6783b,793d395a896de12a846ed4f345bce550,2,"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega"
185228f85383158504ca2c297a3ea411,0ba01684638233b0955369c3ccbdb414,2,"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada."
